Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00+08:00,3230.47998046875,3256.090087890625,3220.669921875,3252.0,136381900,0.0,0.0
2020-01-03 00:00:00+08:00,3260.27001953125,3268.72998046875,3227.6298828125,3238.820068359375,193650300,0.0,0.0
2020-01-06 00:00:00+08:00,3221.56005859375,3226.110107421875,3210.679931640625,3218.860107421875,154063200,0.0,0.0
2020-01-07 00:00:00+08:00,3236.22998046875,3247.860107421875,3233.5,3247.860107421875,187657600,0.0,0.0
2020-01-08 00:00:00+08:00,3211.280029296875,3245.889892578125,3193.31005859375,3245.889892578125,297723700,0.0,0.0
2020-01-09 00:00:00+08:00,3262.719970703125,3262.719970703125,3243.10009765625,3247.47998046875,230734400,0.0,0.0
2020-01-10 00:00:00+08:00,3252.659912109375,3261.280029296875,3246.6201171875,3255.949951171875,195969000,0.0,0.0
2020-01-13 00:00:00+08:00,3259.43994140625,3267.969970703125,3248.0,3251.070068359375,211815300,0.0,0.0
2020-01-14 00:00:00+08:00,3262.080078125,3270.5400390625,3256.179931640625,3270.5400390625,270354000,0.0,0.0
2020-01-15 00:00:00+08:00,3266.5400390625,3276.0,3252.02001953125,3256.97998046875,245144400,0.0,0.0
2020-01-16 00:00:00+08:00,3256.830078125,3280.360107421875,3255.6298828125,3278.0,270571600,0.0,0.0
2020-01-17 00:00:00+08:00,3282.85009765625,3283.889892578125,3269.989990234375,3281.030029296875,202760000,0.0,0.0
2020-01-20 00:00:00+08:00,3280.949951171875,3283.06005859375,3270.800048828125,3280.090087890625,172691700,0.0,0.0
2020-01-21 00:00:00+08:00,3271.56005859375,3275.14990234375,3232.989990234375,3247.169921875,272436300,0.0,0.0
2020-01-22 00:00:00+08:00,3242.60009765625,3258.9599609375,3240.169921875,3253.929931640625,202913300,0.0,0.0
2020-01-23 00:00:00+08:00,3251.840087890625,3259.89990234375,3231.3701171875,3234.56005859375,313846600,0.0,0.0
2020-01-24 00:00:00+08:00,3235.360107421875,3242.5,3230.320068359375,3240.02001953125,192710800,0.0,0.0
2020-01-28 00:00:00+08:00,3172.72998046875,3190.080078125,3144.10009765625,3181.25,461901000,0.0,0.0
2020-01-29 00:00:00+08:00,3181.18994140625,3193.840087890625,3172.659912109375,3182.570068359375,207466100,0.0,0.0
2020-01-30 00:00:00+08:00,3183.199951171875,3191.3798828125,3152.510009765625,3170.679931640625,246419300,0.0,0.0
